,SEASONAL_NAIVE_MEAN_3_DAYS,SEASONAL_NAIVE_MEAN_7_DAYS,NAIVE_LAST,ACTUAL
2022-03-20 04:00:00,477.07666666666665,448.3414285714286,418.43,378.01
2022-03-20 05:00:00,481.24666666666667,457.74000000000007,418.43,370.75
2022-03-20 06:00:00,481.6466666666667,465.6514285714285,418.43,364.55
2022-03-20 07:00:00,512.4666666666667,499.25,418.43,359.55
2022-03-20 08:00:00,528.59,511.3757142857143,418.43,374.01
2022-03-20 09:00:00,549.4566666666666,548.03,418.43,357.63
2022-03-20 10:00:00,574.2033333333334,564.2700000000001,418.43,294.81
2022-03-20 11:00:00,493.19666666666666,506.15714285714284,418.43,252.32
2022-03-20 12:00:00,459.0233333333333,458.5728571428571,418.43,70.0
2022-03-20 13:00:00,450.72333333333336,434.63571428571424,418.43,78.0
2022-03-20 14:00:00,460.2366666666667,446.8071428571428,418.43,251.35
2022-03-20 15:00:00,465.0133333333333,452.81285714285707,418.43,291.63
2022-03-20 16:00:00,532.9966666666667,505.78857142857134,418.43,363.03
2022-03-20 17:00:00,590.08,609.8757142857143,418.43,392.11
2022-03-20 18:00:00,639.2266666666666,659.1257142857143,418.43,474.14
2022-03-20 19:00:00,654.7466666666667,725.2542857142856,418.43,505.43
2022-03-20 20:00:00,706.5799999999999,711.79,418.43,496.9
2022-03-20 21:00:00,589.5933333333334,603.547142857143,418.43,495.69
2022-03-20 22:00:00,519.9433333333333,496.6357142857143,418.43,436.69
2022-03-20 23:00:00,494.58666666666664,482.8171428571428,418.43,420.59
2022-03-21 00:00:00,451.85999999999996,461.16285714285715,420.59,393.03
2022-03-21 01:00:00,469.3633333333333,464.5228571428571,420.59,449.92
2022-03-21 02:00:00,451.06333333333333,450.42857142857144,420.59,468.83
2022-03-21 03:00:00,451.3866666666667,455.2057142857142,420.59,487.1
2022-03-21 04:00:00,449.4666666666667,451.8285714285715,420.59,457.26
2022-03-21 05:00:00,451.23,459.33714285714285,420.59,473.35
2022-03-21 06:00:00,449.1566666666667,465.8414285714286,420.59,471.22
2022-03-21 07:00:00,458.2733333333333,494.47571428571433,420.59,560.14
2022-03-21 08:00:00,471.4766666666667,508.6628571428572,420.59,500.59
2022-03-21 09:00:00,477.2366666666667,542.9814285714285,420.59,501.59
2022-03-21 10:00:00,448.8433333333333,547.2528571428571,420.59,510.64
2022-03-21 11:00:00,399.0833333333333,491.84857142857146,420.59,500.59
2022-03-21 12:00:00,318.01666666666665,420.84142857142854,420.59,501.59
2022-03-21 13:00:00,312.21000000000004,409.0228571428571,420.59,498.54
2022-03-21 14:00:00,365.7933333333333,444.5971428571428,420.59,500.59
2022-03-21 15:00:00,383.99666666666667,456.3742857142857,420.59,503.02
2022-03-21 16:00:00,435.6066666666666,509.8414285714285,420.59,501.59
2022-03-21 17:00:00,509.0,614.8057142857142,420.59,660.0
2022-03-21 18:00:00,585.4899999999999,664.86,420.59,753.61
2022-03-21 19:00:00,626.3000000000001,736.2414285714286,420.59,748.95
2022-03-21 20:00:00,668.2133333333333,731.2257142857143,420.59,1185.55
2022-03-21 21:00:00,576.6,624.4257142857142,420.59,820.0
2022-03-21 22:00:00,498.06,508.9500000000001,420.59,613.77
2022-03-21 23:00:00,475.96999999999997,493.01714285714286,420.59,621.8
2022-03-22 00:00:00,430.24666666666667,468.28000000000003,621.8,484.3
